,i,j,steps,acidgas_Fm,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,86.53675771526716,2220.464937580004,24.18921961770285,27.711878197089764,34.63565990047454,86.6219845285077,1.1657657505786343,92.86537474742482,2129.154801736381,801.2494192959451,800.0,64.91094039803737,68.08585858259144,599.9999587739113,534.5439405822144,1.2887294572752097,1219.506405728874,941.3805427138368,1.29,1.2890134079948055,218.9652792354389,238.46847262042408,1.1441061207616403,1156.7215699490932,1174.3459891477705,1.15,1.1434318827265868,214.0945129005839,1174.3393745009655,1.093654415529459,254.73127184282296,1.0935476036209126,214.0945129005839,1.1,1.093153864750692,144.1233148420499,217.88450719510672,144.12332939163122,1.085052582700781,271.1451588886289,271.3001388144781,1.084382524567424,217.88450719510672,271.3001388144781,302.4262388733724,1.0842345205497137,1.08,1.075856969609622,8.377550940091627,216.8483673266888,1.06,1.0571404458000866,38.360671979882454,148.18261101293217,38.36067186028707,1.0459538161910342,190.0,195.075405694949,1.084382524567424,148.18261101293217,195.07540569494904,227.58850375768125,1.0457240578822853,1.04,1.0374519089317524,8.272148950532854,147.38974533364,1.013,1.0132559207297382,100.71407358416212,0.0006801315236052119,0.025447119991361743,0.026727249442612316,2.012651920994923,0.8895983699421378
1,0.0,1.0,1.0,84.94403832277489,2179.5970144014022,23.74401413287137,27.20183775910486,33.998186430798654,86.6219845285077,1.1657657505786343,86.73312535472304,2090.4330837262737,799.6983540439223,800.0,64.63359790048119,68.08585858259144,599.9999587739113,535.4396925017442,1.2892705219986018,1219.506405728874,941.5638104704974,1.29,1.2895532296233465,211.15697250291998,243.47295092101007,1.1448961755310945,1145.4862389246402,1159.867848106011,1.15,1.1442732418742056,207.05064449563864,1159.8650032985204,1.0919755089742365,202.92045082183574,1.0918764866634112,207.05064449563864,1.1,1.0914973228066556,144.00514951694188,204.64072777322073,144.0051856143583,1.0834300557142482,279.48282991533625,279.61042819082763,1.0828407346402638,204.64072777322073,279.6104281908276,308.716384670336,1.082708549336107,1.08,1.0752460057070892,7.4625436290178815,203.68478537061722,1.06,1.056570308535685,38.33572200626186,140.63859486142823,38.335722117021376,1.044260658295823,190.0,195.76250352445172,1.0828407346402638,140.63859486142823,195.76250352445174,228.41900732274866,1.0440535329675171,1.04,1.0365959909404585,7.457542027058617,139.82280306789474,1.013,1.01323054466833,100.70753552808944,0.0006858922979364803,0.02545013653551437,0.02695043686619726,2.012651920994923,0.8931919924981345
2,0.0,2.0,2.0,82.80275905282585,2124.653477504249,23.14547224279899,26.516130645949264,33.1411561640776,86.6219845285077,1.1657657505786343,81.78341111694989,2037.827896710814,799.1640613870803,800.0,64.44660809623166,68.08585858259144,599.9999587739113,535.7933592790745,1.2896319997127084,1219.506405728874,941.2058796665049,1.29,1.2899141101970064,204.03389219518166,248.5368053503019,1.145931902146944,1140.9936753724262,1153.2934701081651,1.15,1.1453521471952275,200.37099306979624,1153.284148595131,1.0916217328549884,159.02663076370507,1.0915294178475623,200.37099306979624,1.1,1.0911620986578974,143.85672188648783,194.68597100408536,143.85708853528857,1.0829509457111182,286.366157167199,286.474031916042,1.0824182580067825,194.68597100408536,286.47403191604224,313.78861248400233,1.082297259881277,1.08,1.0754811652758696,6.816094605407441,193.80766063265085,1.06,1.0565637518309987,38.29635735199862,134.40037360081251,38.29636319984909,1.043169889420253,190.0,195.66176375649135,1.0824182580067825,134.40037360081251,195.6617637564911,228.35922408807656,1.042980864652907,1.04,1.036178006290427,6.80285836248018,133.59170578958674,1.013,1.0132106305470625,100.69869951671414,0.0006909396161371132,0.025451373431593125,0.027147439331483808,2.012651920994923,0.8952023171778242
3,0.0,3.0,3.0,80.75512720448684,2072.1128595708974,22.573107183333203,25.860412476332176,32.32160754482146,86.6219845285077,1.1657657505786343,77.90010057813257,1987.3875557946965,799.1425105798445,800.0,64.34259284763874,68.08585858259144,599.9999587739113,535.8543356429825,1.2898314550224386,1219.506405728874,940.7463386467601,1.29,1.290113362349493,198.0980795409106,253.119198851015,1.1468972653184388,1139.5470130774695,1150.422849000483,1.15,1.1463516309071389,194.7066456252328,1150.415962486005,1.091913286092651,122.5565682726875,1.091826341770341,194.7066456252328,1.1,1.0914681699969984,143.6770538639392,186.95834442721488,143.6777710474814,1.0830119234072362,292.1091615857828,292.2010921118402,1.0825210909057108,186.95834442721488,292.2010921118407,317.9966099964011,1.0824084151614655,1.08,1.0760729160940186,6.335499067446904,186.1436205847855,1.06,1.0568946594191184,38.2521034102577,129.55088107059458,38.25211989228163,1.042603820864888,190.0,195.09716392142832,1.0825210909057108,129.55088107059458,195.09716392142857,227.80789458255995,1.0424284797210626,1.04,1.0361225878031477,6.305891917914863,128.75256236542955,1.013,1.0131957353525363,100.6879024088404,0.000694514108299459,0.025450604012067956,0.027288708274669636,2.012651920994923,0.8963498155195305
4,0.0,4.0,4.0,78.96779814901414,2026.2514059600123,22.073503359554824,25.288051708595198,31.60624308086411,86.6219845285077,1.1657657505786343,74.79677085723098,1943.304284899162,799.304137828882,800.0,64.29027533482986,68.08585858259144,599.9999587739113,535.7999469755802,1.2899308598761403,1219.506405728874,940.3530639004322,1.29,1.2902127456424637,193.2131002370853,257.1462487415117,1.147720187798111,1139.292145575752,1149.1135683338848,1.15,1.1472015985855473,190.0018227676502,1149.1104852055025,1.0924801876120858,91.68203279327197,1.092397537749262,190.0018227676502,1.1,1.0920465102135448,143.47704743165494,180.79804537602806,143.47790246592407,1.0832753306286027,296.97113463705483,297.04867767705895,1.0828165787728752,180.79804537602806,297.04867767705895,321.5506990765236,1.0827103153518374,1.08,1.0767450283460827,5.965287005754716,180.034342693129,1.06,1.0573488831446125,38.20582394912592,125.70472759516366,38.20585053088698,1.0423656774384602,190.0,194.388653026174,1.0828165787728752,125.70472759516366,194.3886530261737,227.08154600711674,1.042200921562031,1.04,1.0362800870161748,5.920834545856124,124.92182112658264,1.013,1.0131842961877953,100.6756386096476,0.0006966870739231489,0.025448289612699817,0.027376577543170973,2.012651920994923,0.8970928281463831
5,0.0,5.0,5.0,77.48716346515197,1988.2594879857065,21.659628394890976,24.81390443179774,31.013630638463237,86.6219845285077,1.1657657505786343,72.3357319317682,1906.7543679047967,799.5175633131466,800.0,64.27201162667919,68.08585858259144,599.9999587739113,535.7035517474687,1.2899647832980365,1219.506405728874,940.0682056631852,1.29,1.2902467349429838,189.2808139445521,260.5690017052797,1.1483878721697596,1139.4933166983838,1148.528139528244,1.15,1.1478904497255753,186.19046494809714,1148.5267309005042,1.0931597769061323,65.90596744795624,1.0930805119556668,186.19046494809714,1.1,1.0927350156585156,143.26271654416888,175.86856014315526,143.26368421542566,1.0835937204359187,301.0543576553514,301.11938695044,1.0831597963891202,175.86856014315526,301.11938695043995,324.5382395660067,1.0830585157801984,1.08,1.0773807854249642,5.677730355234223,175.14620843427022,1.06,1.0578250848049073,38.155299530336755,122.66519611172275,38.15533796873717,1.0423507852737308,190.0,193.6672115768974,1.0831597963891202,122.66519611172275,193.66721157689736,226.32343889489687,1.0421942271086853,1.04,1.036571870495383,5.622356613302237,121.89862766571227,1.013,1.013175495122595,100.66210708422861,0.000697593746908061,0.025444638283887804,0.027416139271659257,2.012651920994923,0.8976179390070003
6,0.0,6.0,6.0,76.2989535420181,1957.7709586894682,21.3274935710143,24.433401053443763,30.538058917560033,86.6219845285077,1.1657657505786343,70.39351303781261,1877.4076328409064,799.7152786073079,800.0,64.27388234063848,68.08585858259144,599.9999587739113,535.6051967283291,1.2899602376868713,1219.506405728874,939.8928387983233,1.29,1.2902422854606224,186.15978551206769,263.4073368881567,1.1489145126747051,1139.7881189213674,1148.224565386338,1.15,1.148433545487862,183.15351818583127,1148.2237123323146,1.093864067511986,44.6464554128406,1.0937874495544004,183.15351818583127,1.1,1.093446223130516,143.03750464487717,171.90336213879695,143.03856545614943,1.0838930662341064,304.461341646721,304.5155137386961,1.0834785536689018,171.90336213879695,304.51551373869603,327.04122353439266,1.083381180181179,1.08,1.0779287923638923,5.452387817286741,171.21402309988926,1.06,1.0582685737230868,38.1012257252575,120.27421209793769,38.1012767881008,1.0424786822050385,190.0,193.001015404361,1.0834785536689018,120.27421209793769,193.001015404361,225.6069024360725,1.0423284734268654,1.04,1.0369373805587554,5.3910928681100145,119.52393394275646,1.013,1.0131687200922457,100.64753104403707,0.0006974263222556164,0.02543987638641075,0.027414689901094073,2.012651920994923,0.8980179405452021
7,0.0,7.0,7.0,75.36425685557673,1933.787379060287,21.06622212959212,24.134080840741625,30.163953885242968,86.6219845285077,1.1657657505786343,68.86564298352296,1854.314472526075,799.8706322844483,800.0,64.28622668978295,68.08585858259144,599.9999587739113,535.5226851871735,1.2899358477866119,1219.506405728874,939.8019219341047,1.29,1.2902179910517626,183.70501372493123,265.71760661498286,1.1493230591643226,1140.0252202363577,1147.999704562758,1.15,1.148854840787447,180.7597729777398,1147.9990407860212,1.0945492831033599,27.298265509943665,1.0944747265482007,180.7597729777398,1.1,1.0941367946230192,142.80426173869753,168.69610476050298,142.80539895071578,1.0841429072898014,307.2898987645345,307.33482852373317,1.0837437155673897,168.69610476050298,307.33482852373317,329.1329211856021,1.0836494315693175,1.08,1.0783750794781821,5.274352091135359,168.03297578362654,1.06,1.0586527133427728,38.044179760680834,118.38770186946205,38.04424385320671,1.0426844379248372,190.0,192.42376556570753,1.0837437155673897,118.38770186946205,192.42376556570753,224.9706635264464,1.0425391799170558,1.04,1.0373283839268073,5.21079599024854,117.65285155652488,1.013,1.0131634640845868,100.63209921614505,0.000696387450398813,0.02543421979137893,0.02737994151622679,2.012651920994923,0.8983511803726377
8,0.0,8.0,8.0,74.63844019618035,1915.1634961479654,20.863337955977784,23.901650791481046,29.87345144872152,86.6219845285077,1.1657657505786343,67.66652661078359,1836.3780278472345,799.9789724547178,800.0,64.30276982304648,68.08585858259144,599.9999587739113,535.461325432361,1.2899036447000796,1219.506405728874,939.7763055559798,1.29,1.290185869497624,181.78582031716738,267.5734969066013,1.1496368322676047,1140.160904125682,1147.7758815708912,1.15,1.14917847438053,178.88670471726465,1147.7751855568918,1.0951959220794583,13.274224375086405,1.0951229677178351,178.88670471726465,1.1,1.0947875787841173,142.56529293883858,166.0849185365952,142.5664924237868,1.0843370303852353,309.63136336683755,309.6685360439001,1.0839500480930102,166.0849185365952,309.6685360439,330.88021347620526,1.0838582283979528,1.08,1.0787257246444992,5.132503753453532,165.44250441207245,1.06,1.0589699611733203,37.98462585722812,116.89139513412587,37.98470314545193,1.0429222205005468,190.0,191.94294343539372,1.0839500480930102,116.89139513412587,191.94294343539372,224.42628649289995,1.0427808546447734,1.04,1.0377117365382957,5.069118106477699,116.17053617996092,1.013,1.0131593483685575,100.6159660843187,0.0006946626835213635,0.025427857975706902,0.027318961911185193,2.012651920994923,0.8986482281437691
9,0.0,9.0,9.0,74.08000680649376,1900.8345358944166,20.707241653532147,23.722822297269357,29.649942855692252,86.6219845285077,1.1657657505786343,66.72743257794524,1822.5756835229643,800.0465598263321,800.0,64.31991638491354,68.08585858259144,599.9999587739113,535.419755913215,1.289870479732274,1219.506405728874,939.7917197313408,1.29,1.2901527681556342,180.29213568609876,269.04819575229993,1.1498761835042828,1140.1986562448053,1147.5336433737475,1.15,1.149425442958798,177.42897431332514,1147.5328838802232,1.0957964547069545,2.0356496559486796,1.0957247442332274,177.42897431332514,1.1,1.0953913185051234,142.3224366962085,163.9437339341664,142.32368667591453,1.0844806878987772,311.5669145887975,311.59763693582863,1.0841035299870467,163.9437339341664,311.5976369358286,332.3419076886317,1.0840136933091835,1.08,1.078995167264386,5.018526044797467,163.3176078995958,1.06,1.0592232670499677,37.92293551047914,115.69750507867239,37.923026009304685,1.0431623388551348,190.0,191.55208250553173,1.0841035299870467,115.69750507867239,191.55208250553173,223.96985103139045,1.043024058906865,1.04,1.0380671963811154,4.95686252574945,114.98897249428127,1.013,1.0131560954079888,100.59925559259919,0.000692408830216381,0.02542094845038012,0.027237726065489402,2.012651920994923,0.898923738131621
