T2 [℃],Air2 [m³/h],"H2SMF   





","SO2MF   





",total S[%],"Ratio





",ln(Ratio)
140,149.9997554,0.017353688,7.26E-04,1.81E-02,2.39E+01,3.174001648
140,157.4997677,0.016511923,1.03E-03,1.75E-02,1.60E+01,2.772078017
140,164.9997799,0.015679343,1.41E-03,1.71E-02,1.11E+01,2.407117904
140,172.4997922,0.014843983,0.001880247,1.67E-02,7.89E+00,2.066191695
140,179.9998044,0.01423458,0.002291126,1.65E-02,6.21E+00,1.826630869
140,187.4998167,0.013537975,0.002830529,1.64E-02,4.78E+00,1.565034958
140,194.9998289,0.012952361,0.003356969,1.63E-02,3.86E+00,1.35023953
140,202.4998412,0.012356379,0.003963814,1.63E-02,3.12E+00,1.136965841
140,209.9998534,0.01182507,0.004577131,1.64E-02,2.58E+00,0.949149396
140,217.4998657,0.011301316,0.005221528,1.65E-02,2.16E+00,0.772129086
140,224.9998779,0.010806096,0.005932637,1.67E-02,1.82E+00,0.5996416
140,232.4998901,0.01037343,0.006623702,1.70E-02,1.57E+00,0.448593254
140,239.9999024,0.009959442,0.007348796,1.73E-02,1.36E+00,0.303984559
140,247.4999146,0.009559961,0.00811333,1.77E-02,1.18E+00,0.164075293
140,254.9999269,0.009218915,0.008829175,1.80E-02,1.04E+00,0.043195802
140,262.4999391,0.008878657,0.009627897,1.85E-02,9.22E-01,-0.081014515
140,269.9999503,0.008620607,0.010269491,1.89E-02,8.39E-01,-0.175021887
140,277.4999641,0.008235174,0.011260405,1.95E-02,7.31E-01,-0.31287811
140,284.9999753,0.007961511,0.012041731,2.00E-02,6.61E-01,-0.413759358
140,292.4999892,0.007668518,0.012927851,2.06E-02,5.93E-01,-0.522260608
140,300.0000004,0.007402293,0.013795254,2.12E-02,5.37E-01,-0.622534824
145,149.9997554,0.017045539,4.04E-04,1.74E-02,4.22E+01,3.743360251
145,157.4997677,0.016130165,6.33E-04,1.68E-02,2.55E+01,3.237730901
145,164.9997799,0.015227313,9.40E-04,1.62E-02,1.62E+01,2.785308087
145,172.4997922,0.014303647,1.32E-03,1.56E-02,1.09E+01,2.386144787
145,179.9998044,0.013636015,0.001666014,1.53E-02,8.18E+00,2.102280324
145,187.4998167,0.012891165,0.002155627,1.50E-02,5.98E+00,1.788460637
145,194.9998289,0.012268432,0.002643889,1.49E-02,4.64E+00,1.534778651
145,202.4998412,0.011635466,0.003212932,1.48E-02,3.62E+00,1.286873885
145,209.9998534,0.011077369,0.003799123,1.49E-02,2.92E+00,1.070133984
145,217.4998657,0.010544631,0.00443503,1.50E-02,2.38E+00,0.866082352
145,224.9998779,0.010030804,0.005127808,1.52E-02,1.96E+00,0.670982391
145,232.4998901,0.009584366,0.005805526,1.54E-02,1.65E+00,0.501322938
145,239.9999024,0.009159688,0.006520572,1.57E-02,1.40E+00,0.33985009
145,247.4999146,0.008752299,0.007278049,1.60E-02,1.20E+00,0.184453574
145,254.9999269,0.00840613,0.007989586,1.64E-02,1.05E+00,0.050822279
145,262.4999391,0.008074724,0.008798563,1.69E-02,9.18E-01,-0.085849669
145,269.9999503,0.007814702,0.009438888,1.73E-02,8.28E-01,-0.188831367
145,277.4999641,0.007429772,0.010431982,1.79E-02,7.12E-01,-0.339381184
145,284.9999753,0.007150382,0.011208534,1.84E-02,6.38E-01,-0.449509694
145,292.4999892,0.00686067,0.012099393,1.90E-02,5.67E-01,-0.567350137
145,300.0000004,0.006598608,0.012972368,1.96E-02,5.09E-01,-0.675962829
150,149.9997554,0.016857947,2.07E-04,1.71E-02,8.14E+01,4.399216762
150,157.4997677,0.015868101,3.59E-04,1.62E-02,4.42E+01,3.789262466
150,164.9997799,0.014888665,5.85E-04,1.55E-02,2.54E+01,3.236232467
150,172.4997922,0.013921044,9.16E-04,1.48E-02,1.52E+01,2.721619204
150,179.9998044,0.013214414,1.23E-03,1.44E-02,1.08E+01,2.37817627
150,187.4998167,0.012416656,0.001659915,1.41E-02,7.48E+00,2.012272397
150,194.9998289,0.011752888,0.00210568,1.39E-02,5.58E+00,1.719460551
150,202.4998412,0.011086046,0.002639896,1.37E-02,4.20E+00,1.434947871
150,209.9998534,0.010498546,0.003195983,1.37E-02,3.28E+00,1.189341994
150,217.4998657,0.009941414,0.003807136,1.37E-02,2.61E+00,0.959832205
150,224.9998779,0.009407539,0.004479831,1.39E-02,2.10E+00,0.741925988
150,232.4998901,0.008946268,0.005142877,1.41E-02,1.74E+00,0.553623838
150,239.9999024,0.008510077,0.005846792,1.44E-02,1.46E+00,0.375357791
150,247.4999146,0.008094143,0.006596321,1.47E-02,1.23E+00,0.204628709
150,254.9999269,0.007742255,0.007302736,1.50E-02,1.06E+00,0.058443987
150,262.4999391,0.007388915,0.008089958,1.55E-02,9.13E-01,-0.090642649
150,269.9999503,0.007126784,0.008728758,1.59E-02,8.16E-01,-0.20276289
150,277.4999641,0.00674232,0.009723754,1.65E-02,6.93E-01,-0.366167709
150,284.9999753,0.006481235,0.010520096,1.70E-02,6.16E-01,-0.484376246
150,292.4999892,0.006193963,0.0114146,1.76E-02,5.43E-01,-0.611318152
150,300.0000004,0.005935199,0.012292045,1.82E-02,4.83E-01,-0.728051848
155,149.9997554,0.016808802,1.56E-04,1.70E-02,1.08E+02,4.681954054
155,157.4997677,0.015768943,2.55E-04,1.60E-02,6.18E+01,4.124650276
155,164.9997799,0.014728194,4.17E-04,1.51E-02,3.53E+01,3.563754519
155,172.4997922,0.013688089,6.72E-04,1.44E-02,2.04E+01,3.014367386
155,179.9998044,0.012933293,9.31E-04,1.39E-02,1.39E+01,2.631189322
155,187.4998167,0.012072865,0.001300447,1.34E-02,9.28E+00,2.228252184
155,194.9998289,0.011367578,0.001703043,1.31E-02,6.67E+00,1.898348722
155,202.4998412,0.010662839,0.002198037,1.29E-02,4.85E+00,1.579200142
155,209.9998534,0.010045279,0.002723153,1.28E-02,3.69E+00,1.305312493
155,217.4998657,0.009462986,0.003308557,1.28E-02,2.86E+00,1.050875683
155,224.9998779,0.008908544,0.003960428,1.29E-02,2.25E+00,0.810658713
155,232.4998901,0.008432194,0.004608364,1.30E-02,1.83E+00,0.604183953
155,239.9999024,0.007984381,0.005300853,1.33E-02,1.51E+00,0.40961948
155,247.4999146,0.00755996,0.0060423,1.36E-02,1.25E+00,0.2240812
155,254.9999269,0.007202741,0.006743831,1.39E-02,1.07E+00,0.065833395
155,262.4999391,0.006870539,0.007553663,1.44E-02,9.10E-01,-0.094789981
155,269.9999503,0.006607177,0.008191679,1.48E-02,8.07E-01,-0.214962428
155,277.4999641,0.006224097,0.009189182,1.54E-02,6.77E-01,-0.389598505
155,284.9999753,0.005954728,0.009977719,1.59E-02,5.97E-01,-0.5161689
155,292.4999892,0.005671345,0.010877123,1.65E-02,5.21E-01,-0.651235566
155,300.0000004,0.005417287,0.01176026,1.72E-02,4.61E-01,-0.775130989
160,149.9997554,0.016810319,1.57E-04,1.70E-02,1.07E+02,4.671892705
160,157.4997677,0.015736264,2.21E-04,1.60E-02,7.13E+01,4.266727999
160,164.9997799,0.014649823,3.35E-04,1.50E-02,4.37E+01,3.777437277
160,172.4997922,0.013552673,5.30E-04,1.41E-02,2.56E+01,3.241467187
160,179.9998044,0.012753406,0.0007428,1.35E-02,1.72E+01,2.843127035
160,187.4998167,0.011853795,0.00107125,1.29E-02,1.11E+01,2.403822255
160,194.9998289,0.011108899,0.001432544,1.25E-02,7.75E+00,2.04829436
160,202.4998412,0.010367252,0.001889186,1.23E-02,5.49E+00,1.702506154
160,209.9998534,0.00972008,0.002383634,1.21E-02,4.08E+00,1.405567498
160,217.4998657,0.009113004,0.002943512,1.21E-02,3.10E+00,1.130098824
160,224.9998779,0.008538277,0.00357466,1.21E-02,2.39E+00,0.870689297
160,232.4998901,0.008047112,0.004207588,1.23E-02,1.91E+00,0.648423694
160,239.9999024,0.007588022,0.004888825,1.25E-02,1.55E+00,0.439618949
160,247.4999146,0.007155421,0.005622317,1.28E-02,1.27E+00,0.241126532
160,254.9999269,0.006793013,0.006318947,1.31E-02,1.08E+00,0.072341945
160,262.4999391,0.006441902,0.007109759,1.36E-02,9.06E-01,-0.098644495
160,269.9999503,0.006176697,0.007746273,1.39E-02,7.97E-01,-0.226428143
160,277.4999641,0.005794383,0.008745461,1.45E-02,6.63E-01,-0.411645881
160,284.9999753,0.005526326,0.009535953,1.51E-02,5.80E-01,-0.545545942
160,292.4999892,0.005245974,0.010439216,1.57E-02,5.03E-01,-0.688108542
160,300.0000004,0.004995709,0.011326956,1.63E-02,4.41E-01,-0.818605946
165,149.9997554,0.016828716,1.77E-04,1.70E-02,9.53E+01,4.557407728
165,157.4997677,0.015747039,2.32E-04,1.60E-02,6.79E+01,4.217548088
165,164.9997799,0.014635598,3.20E-04,1.50E-02,4.57E+01,3.82192952
165,172.4997922,0.013501025,4.76E-04,1.40E-02,2.84E+01,3.34528468
165,179.9998044,0.012667079,0.000652407,1.33E-02,1.94E+01,2.966092771
165,187.4998167,0.011725451,0.000936922,1.27E-02,1.25E+01,2.52691653
165,194.9998289,0.010944873,0.001260947,1.22E-02,8.68E+00,2.161008273
165,202.4998412,0.010169022,0.00168195,1.19E-02,6.05E+00,1.799392017
165,209.9998534,0.00949391,0.002147367,1.16E-02,4.42E+00,1.486408327
165,217.4998657,0.008863217,0.002682807,1.15E-02,3.30E+00,1.195046213
165,224.9998779,0.008269063,0.003293982,1.16E-02,2.51E+00,0.920424082
165,232.4998901,0.00776367,0.003912383,1.17E-02,1.98E+00,0.685308569
165,239.9999024,0.007293713,0.004582656,1.19E-02,1.59E+00,0.464734139
165,247.4999146,0.006853247,0.005308369,1.22E-02,1.29E+00,0.255438018
165,254.9999269,0.006485855,0.006000183,1.25E-02,1.08E+00,0.077833688
165,262.4999391,0.006132937,0.006789538,1.29E-02,9.03E-01,-0.101709014
165,269.9999503,0.005866145,0.007424699,1.33E-02,7.90E-01,-0.235614348
165,277.4999641,0.005484739,0.008425472,1.39E-02,6.51E-01,-0.429290013
165,284.9999753,0.005218079,0.00921784,1.44E-02,5.66E-01,-0.569011412
165,292.4999892,0.004940679,0.010124678,1.51E-02,4.88E-01,-0.717473034
165,300.0000004,0.004694022,0.011016637,1.57E-02,4.26E-01,-0.853116842
170,149.9997554,0.01686025,2.10E-04,1.71E-02,8.05E+01,4.387778137
170,157.4997677,0.0157779,2.64E-04,1.60E-02,5.97E+01,4.089083383
170,164.9997799,0.014662233,3.48E-04,1.50E-02,4.21E+01,3.740239948
170,172.4997922,0.013512462,0.000487891,1.40E-02,2.77E+01,3.321275372
170,179.9998044,0.012659581,0.000644556,1.33E-02,1.96E+01,2.977608226
170,187.4998167,0.011691187,0.000901054,1.26E-02,1.30E+01,2.563024891
170,194.9998289,0.010885269,0.001198577,1.21E-02,9.08E+00,2.206275602
170,202.4998412,0.0100834,0.001592411,1.17E-02,6.33E+00,1.845641105
170,209.9998534,0.009386,0.002034598,1.14E-02,4.61E+00,1.528920771
170,217.4998657,0.008735862,0.002549832,1.13E-02,3.43E+00,1.23140927
170,224.9998779,0.008125348,0.003144082,1.13E-02,2.58E+00,0.949466763
170,232.4998901,0.007607752,0.003749917,1.14E-02,2.03E+00,0.707434001
170,239.9999024,0.007128336,0.004410529,1.15E-02,1.62E+00,0.480083246
170,247.4999146,0.006680915,0.00512923,1.18E-02,1.30E+00,0.264299253
170,254.9999269,0.006309,0.005816551,1.21E-02,1.08E+00,0.081269847
170,262.4999391,0.005954866,0.006604883,1.26E-02,9.02E-01,-0.103600397
170,269.9999503,0.005686404,0.00723848,1.29E-02,7.86E-01,-0.241333182
170,277.4999641,0.00530551,0.008240158,1.35E-02,6.44E-01,-0.440273651
