Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
1,OK,,180.0,50.68965517,2.94,135.0,123.6,2394.890899,52.8023328,0.016196478,2.85708955,0.018278433,0.000214446,83.6,1.6722,0.018492879,0.285675,0.323196,0.391128
2,OK,,180.0,50.68965517,2.94,136.111111,123.6,2414.601934,53.2369199,0.011134075,3.28795141,0.020952229,0.000146611,83.6,1.6722,0.02109884,0.285675,0.323196,0.391128
3,OK,,180.0,50.68965517,2.94,137.222222,123.6,2434.312968,53.671507,0.007958726,3.73080133,0.023679496,0.000104221,83.6,1.6722,0.023783717,0.285675,0.323196,0.391128
4,OK,,180.0,50.68965517,2.94,138.333333,123.6,2454.024002,54.1060941,0.005972411,4.13672121,0.026153154,7.78e-05,83.6,1.6722,0.026230931,0.285675,0.323196,0.391128
5,OK,,180.0,50.68965517,2.94,139.444444,123.6,2473.735036,54.5406812,0.004465047,4.58373262,0.028862828,5.78e-05,83.6,1.6722,0.028920656,0.285675,0.323196,0.391128
6,OK,,180.0,50.68965517,2.94,140.555556,123.6,2493.446088,54.9752683,0.003718583,5.02235902,0.03149749,4.79e-05,83.6,1.6722,0.031545386,0.285675,0.323196,0.391128
7,OK,,180.0,50.68965517,2.94,141.666667,123.6,2513.157123,55.4098554,0.002639336,5.4793644,0.034222732,3.38e-05,83.6,1.6722,0.034256539,0.285675,0.323196,0.391128
8,OK,,180.0,50.68965517,2.94,142.777778,123.6,2532.868157,55.8444425,0.002070731,5.93206705,0.036898258,2.64e-05,83.6,1.6722,0.036924636,0.285675,0.323196,0.391128
9,OK,,180.0,50.68965517,2.94,143.888889,123.6,2552.579191,56.2790296,0.001664138,6.3541838,0.039364124,2.11e-05,83.6,1.6722,0.039385206,0.285675,0.323196,0.391128
10,OK,,180.0,50.68965517,2.94,145.0,123.6,2572.290225,56.7136167,0.001294469,6.88093602,0.042419268,1.63e-05,83.6,1.6722,0.042435555,0.285675,0.323196,0.391128
11,OK,,180.0,55.79879793,3.23633028,135.0,123.6,2394.890899,52.8023328,0.016929557,2.8175696,0.017996801,0.000223953,83.6,1.6722,0.018220754,0.285675,0.323196,0.391128
12,OK,,180.0,55.79879793,3.23633028,136.111111,123.6,2414.601934,53.2369199,0.011634295,3.20281482,0.02037999,0.000153072,83.6,1.6722,0.020533063,0.285675,0.323196,0.391128
