Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
1,OK,,140,8.13,121,123.6,121,47.3265353,2.52198083,0.417608956,0.002682267,0.033510511,0.93788707,0.080042559,1.0214876
2,OK,,140,8.13,124,123.6,124,48.4999205,2.00751482,0.550320524,0.003514277,0.026570535,0.947261041,0.132262189,0.996774194
3,OK,,140,8.13,127,123.6,127,49.6733057,1.51333909,0.734357287,0.004660665,0.019940654,0.954750417,0.233726778,0.973228346
4,OK,,140,8.13,130,123.6,130,50.8466908,1.05933003,0.988478709,0.006232002,0.013883386,0.959725821,0.448881973,0.950769231
5,OK,,140,8.13,133,123.6,133,52.020076,0.648134356,1.34383661,0.008411994,0.008440406,0.96170765,0.996633805,0.929323308
6,OK,,140,8.13,136,123.6,136,53.1934612,0.318938698,1.86164592,0.011561856,0.004119968,0.959006529,2.80629735,0.908823529
7,OK,,140,8.13,139,123.6,139,54.3668464,0.093393504,2.57745076,0.015868785,0.001194225,0.950873658,13.287933,0.889208633
8,OK,,140,8.13,142,123.6,142,55.5402315,0.00326018,3.59768851,0.021934028,4.12E-05,0.93516504,532.953239,0.870422535
9,OK,,140,8.13,145,123.6,145,56.7136167,0.000854629,4.76731579,0.028763829,1.06E-05,0.915925474,2704.93318,0.852413793
10,OK,,140,8.13,148,123.6,148,57.8870019,0.000420405,5.97651215,0.035678114,5.16E-06,0.896748279,6919.86218,0.835135135
11,OK,,140,8.13,151,123.6,151,59.0603871,0.000234624,7.17669307,0.04238673,2.84E-06,0.878481533,14943.5688,0.818543046
12,OK,,140,8.13,154,123.6,154,60.2337722,0.000140186,8.38445256,0.048988249,1.67E-06,0.860799143,29321.1143,0.802597403
13,OK,,140,8.13,157,123.6,157,61.4071574,8.83E-05,9.5993848,0.05547084,1.04E-06,0.843675013,53474.2387,0.787261146
14,OK,,140,8.13,160,123.6,160,62.5805426,5.83E-05,10.8124508,0.061812234,6.76E-07,0.82722251,91504.008,0.7725
