HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,8.13,121,123.6,121,47.3265353,2.52092255,0.417793156,0.002683457,0.033497103,83.6,1.672195,0.036180559
140,8.13,123.052632,123.6,123.052632,48.1293778,2.16650226,0.504125822,0.003225307,0.028712616,83.6,1.672195,0.031937922
140,8.13,125.105263,123.6,125.105263,48.9322203,1.82293239,0.610996337,0.00389307,0.024089482,83.6,1.672195,0.027982552
140,8.13,127.157895,123.6,127.157895,49.7350628,1.48899543,0.745514951,0.00472988,0.019614586,83.6,1.672195,0.024344466
140,8.13,129.210526,123.6,129.210526,50.5379053,1.17455595,0.913168982,0.005767536,0.015416836,83.6,1.672195,0.021184371
140,8.13,131.263158,123.6,131.263158,51.3407478,0.88153083,1.12450306,0.007068719,0.011523513,83.6,1.672195,0.018592232
140,8.13,133.315789,123.6,133.315789,52.1435902,0.612036966,1.3865439,0.00867248,0.007963864,83.6,1.672195,0.016636344
140,8.13,135.368421,123.6,135.368421,52.9464327,0.385417538,1.73188588,0.010774555,0.004987538,83.6,1.672195,0.015762093
140,8.13,137.421053,123.6,137.421053,53.7492752,0.197382329,2.17155682,0.013432659,0.002538221,83.6,1.672195,0.01597088
140,8.13,139.473684,123.6,139.473684,54.5521177,0.069240471,2.71817407,0.016710538,0.000883754,83.6,1.672195,0.017594292
140,8.13,141.526316,123.6,141.526316,55.3549602,0.008610215,3.40136935,0.020771491,0.000108932,83.6,1.672195,0.020880423
