Row/Case,Status,Description,"T2     
","AIR2    
 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
",ACIDGAS ,"H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
1,OK,,140,8.13,121,123.6,121,47.3265353,2.5211216,0.417758498,0.002683233,0.033499625,0.937902065,0.080097403,1.0214876
2,OK,,140,8.13,124,123.6,124,48.4999205,2.00832527,0.550096037,0.003512877,0.026580917,0.947248959,0.132157848,0.996774194
3,OK,,140,8.13,127,123.6,127,49.6733057,1.51333984,0.734356997,0.004660663,0.019940664,0.954750407,0.233726572,0.973228346
4,OK,,140,8.13,130,123.6,130,50.8466908,1.05934156,0.988471803,0.006231958,0.013883535,0.95972573,0.448874035,0.950769231
5,OK,,140,8.13,133,123.6,133,52.020076,0.650103441,1.34184851,0.008399563,0.008465771,0.961708015,0.992179341,0.929323308
6,OK,,140,8.13,136,123.6,136,53.1934612,0.319434202,1.86069465,0.011555969,0.004126338,0.959015097,2.80053864,0.908823529
7,OK,,140,8.13,139,123.6,139,54.3668464,0.090830155,2.58993067,0.015945129,0.001161481,0.950691258,13.7282738,0.889208633
8,OK,,140,8.13,142,123.6,142,55.5402315,0.003326308,3.59452567,0.021914938,4.20E-05,0.935220796,521.901772,0.870422535
9,OK,,140,8.13,145,123.6,145,56.7136167,0.000845394,4.77903018,0.028833366,1.05E-05,0.915719084,2741.20884,0.852413793
10,OK,,140,8.13,148,123.6,148,57.8870019,0.000362883,5.98020152,0.035699742,4.45E-06,0.896685539,8021.63389,0.835135135
11,OK,,140,8.13,151,123.6,151,59.0603871,0.000228711,7.21626551,0.042603749,2.76E-06,0.8778116,15418.8123,0.818543046
12,OK,,140,8.13,154,123.6,154,60.2337722,0.000140997,8.37457114,0.04893155,1.68E-06,0.86096318,29118.4755,0.802597403
13,OK,,140,8.13,157,123.6,157,61.4071574,8.72E-05,9.62180593,0.055597567,1.02E-06,0.843309909,54287.6201,0.787261146
14,OK,,140,8.13,160,123.6,160,62.5805426,0.00E+00,10.8093712,0.061795381,0.00E+00,0.827272652,0,0.7725
15,OK,,140,8.61904737,121,123.6,121,47.3265353,2.62154773,0.405324557,0.002595199,0.034713702,0.936042808,0.07476008,1.0214876
16,OK,,140,8.61904737,124,123.6,124,48.4999205,2.0963366,0.53398933,0.003399675,0.027658495,0.945766387,0.122916125,0.996774194
