Row/Case,Status,Description,"VARY   1
HEATER2 
PARAM   
TEMP    

C       
","VARY   2
AIR2    
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
","ACIDGAS 




KMOL/HR 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","ACIDTEMP




C       
","ACIDPRES




BAR     
"
1,OK,,140,8.13,170,123.6,170,66.4918265,1.89E-05,14.8635396,0.081912749,2.09E-07,83.6,1.6722
2,OK,,140,8.36825385,170,123.6,170,66.4918265,1.41E-05,14.7600603,0.081278177,1.56E-07,83.6,1.6722
3,OK,,140,8.60650769,170,123.6,170,66.4918265,2.07E-05,14.6552811,0.080638752,2.29E-07,83.6,1.6722
4,OK,,140,8.84476154,170,123.6,170,66.4918265,2.17E-05,14.550407,0.079999307,2.40E-07,83.6,1.6722
5,OK,,140,9.08301538,170,123.6,170,66.4918265,2.27E-05,14.4539292,0.079394585,2.50E-07,83.6,1.6722
6,OK,,140,9.32126923,170,123.6,170,66.4918265,2.28E-05,14.346911,0.078754013,2.52E-07,83.6,1.6722
7,OK,,140,9.55952308,170,123.6,170,66.4918265,2.51E-05,14.2273649,0.078041743,2.77E-07,83.6,1.6722
8,OK,,140,9.79777692,170,123.6,170,66.4918265,2.58E-05,14.1644131,0.077609353,2.85E-07,83.6,1.6722
9,OK,,140,10.0360308,170,123.6,170,66.4918265,2.78E-05,14.0070017,0.076712255,3.06E-07,83.6,1.6722
10,OK,,140,10.2742846,170,123.6,170,66.4918265,2.78E-05,14.0004605,0.076565949,3.07E-07,83.6,1.6722
11,OK,,140,10.5125385,170,123.6,170,66.4918265,3.02E-05,13.8195786,0.075555146,3.33E-07,83.6,1.6722
12,OK,,140,10.7507923,170,123.6,170,66.4918265,3.07E-05,13.7851627,0.075261725,3.38E-07,83.6,1.6722
13,OK,,140,10.9890462,170,123.6,170,66.4918265,0,13.6280349,0.074387969,0,83.6,1.6722
14,OK,,140,11.2273,170,123.6,170,66.4918265,3.51E-05,13.4941841,0.07360766,3.87E-07,83.6,1.6722
15,OK,,140,11.4655538,170,123.6,170,66.4918265,3.68E-05,13.395235,0.073007837,4.05E-07,83.6,1.6722
16,OK,,140,11.7038077,170,123.6,170,66.4918265,0,13.2879337,0.072365094,0,83.6,1.6722
17,OK,,140,11.9420615,170,123.6,170,66.4918265,4.08E-05,13.1744509,0.071691786,4.48E-07,83.6,1.6722
18,OK,,140,12.1803154,170,123.6,170,66.4918265,4.31E-05,13.0559871,0.070993361,4.73E-07,83.6,1.6722
19,OK,,140,12.4185692,170,123.6,170,66.4918265,0,12.9588705,0.07040324,0,83.6,1.6722
20,OK,,140,12.6568231,170,123.6,170,66.4918265,4.73E-05,12.8578717,0.069800219,5.19E-07,83.6,1.6722
21,OK,,140,12.8950769,170,123.6,170,66.4918265,4.92E-05,12.7740734,0.069281091,5.39E-07,83.6,1.6722
22,OK,,140,13.1333308,170,123.6,170,66.4918265,5.13E-05,12.6845052,0.068740146,5.63E-07,83.6,1.6722
23,OK,,140,13.3715846,170,123.6,170,66.4918265,0.000545335,12.5873912,0.06815522,5.97E-06,83.6,1.6722
24,OK,,140,13.6098385,170,123.6,170,66.4918265,5.77E-05,12.4316163,0.06727107,6.32E-07,83.6,1.6722
25,OK,,140,13.8480923,170,123.6,170,66.4918265,6.05E-05,12.3333925,0.066683754,6.62E-07,83.6,1.6722
26,OK,,140,14.0863462,170,123.6,170,66.4918265,6.25E-05,12.2632746,0.066230209,6.84E-07,83.6,1.6722
27,OK,,140,14.3246,170,123.6,170,66.4918265,6.80E-05,12.0872749,0.065252998,7.43E-07,83.6,1.6722
28,OK,,140,14.5628538,170,123.6,170,66.4918265,0.000878047,12.0189665,0.064824982,9.60E-06,83.6,1.6722
29,OK,,140,14.8011077,170,123.6,170,66.4918265,7.36E-05,11.9235082,0.064255727,8.04E-07,83.6,1.6722
30,OK,,140,15.0393615,170,123.6,170,66.4918265,7.76E-05,11.8134367,0.063611859,8.47E-07,83.6,1.6722
31,OK,,140,15.2776154,170,123.6,170,66.4918265,0.000183244,11.7097907,0.06300159,2.00E-06,83.6,1.6722
32,OK,,140,15.5158692,170,123.6,170,66.4918265,8.72E-05,11.5963636,0.062333978,9.51E-07,83.6,1.6722
33,OK,,140,15.7541231,170,123.6,170,66.4918265,9.08E-05,11.5135184,0.061833608,9.90E-07,83.6,1.6722
34,OK,,140,15.9923769,170,123.6,170,66.4918265,0.001377502,11.3977364,0.061163603,1.50E-05,83.6,1.6722
35,OK,,140,16.2306308,170,123.6,170,66.4918265,0.000101668,11.2811103,0.060490466,1.11E-06,83.6,1.6722
36,OK,,140,16.4688846,170,123.6,170,66.4918265,0.000105701,11.2023201,0.060013103,1.15E-06,83.6,1.6722
