Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
1,OK,,140,139.97364,8.13,121,123.6,121,47.3265353,2.52190681,0.41762181,0.00268235,0.033509569,83.6,1.6722,0.036191919
2,OK,,140,139.97364,8.13,140.5,123.6,140.5,54.953539,0.029427785,3.05432882,0.018715196,0.000374017,83.6,1.6722,0.019089213
3,OK,,140,139.97364,8.13,160,123.6,160,62.5805426,5.81E-05,10.8180232,0.061841167,6.73E-07,83.6,1.6722,0.061841841
4,OK,,140,144.0782773,8.36825385,121,123.6,121,47.3265353,2.56850224,0.41183668,0.002641199,0.034073451,83.6,1.6722,0.03671465
5,OK,,140,144.0782773,8.36825385,140.5,123.6,140.5,54.953539,0.039830394,2.96285769,0.018134036,0.000505766,83.6,1.6722,0.018639802
6,OK,,140,144.0782773,8.36825385,160,123.6,160,62.5805426,6.18E-05,10.7034122,0.061134372,7.15E-07,83.6,1.6722,0.061135087
7,OK,,140,148.1829145,8.60650769,121,123.6,121,47.3265353,2.61656424,0.405975961,0.002599676,0.034654033,83.6,1.6722,0.037253709
8,OK,,140,148.1829145,8.60650769,140.5,123.6,140.5,54.953539,0.049456834,2.89260889,0.017684894,0.000627587,83.6,1.6722,0.018312481
9,OK,,140,148.1829145,8.60650769,160,123.6,160,62.5805426,0.000549521,10.5944482,0.060462601,6.36E-06,83.6,1.6722,0.060468961
10,OK,,140,152.2875518,8.84476154,121,123.6,121,47.3265353,2.66465426,0.400286962,0.002559371,0.035232959,83.6,1.6722,0.037792329
11,OK,,140,152.2875518,8.84476154,140.5,123.6,140.5,54.953539,0.062854518,2.8076573,0.017146551,0.000796926,83.6,1.6722,0.017943477
12,OK,,140,152.2875518,8.84476154,160,123.6,160,62.5805426,6.89E-05,10.4977652,0.059856908,7.97E-07,83.6,1.6722,0.059857705
13,OK,,140,156.392189,9.08301538,121,123.6,121,47.3265353,2.71290299,0.394738524,0.002520081,0.035812003,83.6,1.6722,0.038332083
14,OK,,140,156.392189,9.08301538,140.5,123.6,140.5,54.953539,0.075633563,2.73865843,0.016705986,0.000958134,83.6,1.6722,0.01766412
15,OK,,140,156.392189,9.08301538,160,123.6,160,62.5805426,7.31E-05,10.3872437,0.059176871,8.45E-07,83.6,1.6722,0.059177716
16,OK,,140,160.4968263,9.32126923,121,123.6,121,47.3265353,2.75921533,0.389648108,0.002483838,0.036364922,83.6,1.6722,0.03884876
17,OK,,140,160.4968263,9.32126923,140.5,123.6,140.5,54.953539,0.091838749,2.66069094,0.016212098,0.00116238,83.6,1.6722,0.017374478
18,OK,,140,160.4968263,9.32126923,160,123.6,160,62.5805426,7.72E-05,10.2845643,0.058539887,8.92E-07,83.6,1.6722,0.058540779
19,OK,,140,164.6014636,9.55952308,121,123.6,121,47.3265353,2.80722757,0.384437573,0.002446931,0.036937475,83.6,1.6722,0.039384406
20,OK,,140,164.6014636,9.55952308,140.5,123.6,140.5,54.953539,0.107952483,2.59276944,0.015780052,0.001365096,83.6,1.6722,0.017145148
21,OK,,140,164.6014636,9.55952308,160,123.6,160,62.5805426,8.19E-05,10.175671,0.057870321,9.47E-07,83.6,1.6722,0.057871267
22,OK,,140,168.7061008,9.79777692,121,123.6,121,47.3265353,2.85982726,0.378713841,0.002406832,0.03756482,83.6,1.6722,0.039971652
23,OK,,140,168.7061008,9.79777692,140.5,123.6,140.5,54.953539,0.12404107,2.53229032,0.015393846,0.001567095,83.6,1.6722,0.016960942
24,OK,,140,168.7061008,9.79777692,160,123.6,160,62.5805426,8.63E-05,10.0789367,0.057263633,9.97E-07,83.6,1.6722,0.05726463
25,OK,,140,172.8107386,10.0360308,121,123.6,121,47.3265353,2.90373877,0.374393163,0.002375818,0.038082592,83.6,1.6722,0.040458411
26,OK,,140,172.8107386,10.0360308,140.5,123.6,140.5,54.953539,0.140713611,2.47682401,0.01503586,0.001775275,83.6,1.6722,0.016811135
27,OK,,140,172.8107386,10.0360308,160,123.6,160,62.5805426,9.21E-05,9.95937041,0.056542152,1.06E-06,83.6,1.6722,0.056543216
28,OK,,140,176.9153751,10.2742846,121,123.6,121,47.3265353,2.95016605,0.369855067,0.002343478,0.038628941,83.6,1.6722,0.040972419
29,OK,,140,176.9153751,10.2742846,140.5,123.6,140.5,54.953539,0.163016632,2.40457888,0.014583292,0.002055489,83.6,1.6722,0.016638782
30,OK,,140,176.9153751,10.2742846,160,123.6,160,62.5805426,9.78E-05,9.84992549,0.055872583,1.13E-06,83.6,1.6722,0.055873711
31,OK,,140,181.0200133,10.5125385,121,123.6,121,47.3265353,3.00045897,0.364871808,0.002308427,0.03922272,83.6,1.6722,0.041531147
32,OK,,140,181.0200133,10.5125385,140.5,123.6,140.5,54.953539,0.185127386,2.34139539,0.01418354,0.002331962,83.6,1.6722,0.016515502
33,OK,,140,181.0200133,10.5125385,160,123.6,160,62.5805426,0.000102901,9.75678895,0.055293922,1.19E-06,83.6,1.6722,0.055295108
34,OK,,140,185.1246497,10.7507923,121,123.6,121,47.3265353,3.05002919,0.360143787,0.002275078,0.039804835,83.6,1.6722,0.042079913
35,OK,,140,185.1246497,10.7507923,140.5,123.6,140.5,54.953539,0.192784945,2.33071911,0.014090553,0.00242237,83.6,1.6722,0.016512923
36,OK,,140,185.1246497,10.7507923,160,123.6,160,62.5805426,0.000108909,9.65344776,0.054659749,1.26E-06,83.6,1.6722,0.054661004
37,OK,,140,189.2292879,10.9890462,121,123.6,121,47.3265353,3.10040956,0.355443882,0.002241995,0.04039483,83.6,1.6722,0.042636825
38,OK,,140,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.231234531,2.22641886,0.013454959,0.002906708,83.6,1.6722,0.016361667
39,OK,,140,189.2292879,10.9890462,160,123.6,160,62.5805426,0.000383699,9.56256051,0.054087874,4.42E-06,83.6,1.6722,0.054092292
40,OK,,140,193.3339244,11.2273,121,123.6,121,47.3265353,3.14450999,0.351672893,0.0022149,0.040906019,83.6,1.6722,0.04312092
41,OK,,140,193.3339244,11.2273,140.5,123.6,140.5,54.953539,0.228982868,2.23931367,0.013514777,0.002876428,83.6,1.6722,0.016391205
42,OK,,140,193.3339244,11.2273,160,123.6,160,62.5805426,0.000121955,9.4482939,0.053403451,1.40E-06,83.6,1.6722,0.053404855
43,OK,,140,197.4385609,11.4655538,121,123.6,121,47.3265353,3.19277408,0.34747273,0.002185159,0.041466464,83.6,1.6722,0.043651623
44,OK,,140,197.4385609,11.4655538,140.5,123.6,140.5,54.953539,0.275446379,2.13311874,0.012859791,0.00345533,83.6,1.6722,0.016315122
45,OK,,140,197.4385609,11.4655538,160,123.6,160,62.5805426,0,9.33362555,0.052710366,0,83.6,1.6722,0.052710366
46,OK,,140,201.5431991,11.7038077,121,123.6,121,47.3265353,3.24276448,0.343166432,0.002154832,0.04204631,83.6,1.6722,0.044201142
47,OK,,140,201.5431991,11.7038077,140.5,123.6,140.5,54.953539,0.322004506,2.04022597,0.012285956,0.004033797,83.6,1.6722,0.016319753
48,OK,,140,201.5431991,11.7038077,160,123.6,160,62.5805426,0.000137203,9.23610871,0.052112688,1.58E-06,83.6,1.6722,0.052114266
49,OK,,140,205.6478355,11.9420615,121,123.6,121,47.3265353,3.29050584,0.339250696,0.002127049,0.042596573,83.6,1.6722,0.044723622
50,OK,,140,205.6478355,11.9420615,140.5,123.6,140.5,54.953539,0.331801426,2.02740887,0.012193006,0.004152906,83.6,1.6722,0.016345912
51,Errors,,140,205.6478355,11.9420615,160,123.6,160,62.5805426,0.000234737,9.1123324,0.050809105,2.70E-06,83.6,1.6722,0.050811803
52,OK,,140,209.7524737,12.1803154,121,123.6,121,47.3265353,3.33955978,0.335280825,0.002098999,0.043160942,83.6,1.6722,0.045259941
53,OK,,140,209.7524737,12.1803154,140.5,123.6,140.5,54.953539,0.355414163,1.98870334,0.011945411,0.004443696,83.6,1.6722,0.016389108
54,OK,,140,209.7524737,12.1803154,160,123.6,160,62.5805426,0.000153753,9.03271963,0.050873856,1.77E-06,83.6,1.6722,0.050875623
55,OK,,140,213.8571102,12.4185692,121,123.6,121,47.3265353,3.38862062,0.331417584,0.002071693,0.043723257,83.6,1.6722,0.045794951
56,OK,,140,213.8571102,12.4185692,140.5,123.6,140.5,54.953539,0.388530296,1.93549887,0.011611675,0.004851821,83.6,1.6722,0.016463496
57,OK,,140,213.8571102,12.4185692,160,123.6,160,62.5805426,0.000161236,8.94920197,0.050355848,1.85E-06,83.6,1.6722,0.0503577
58,OK,,140,217.9617484,12.6568231,121,123.6,121,47.3265353,3.43625272,0.327801278,0.002046028,0.044267052,83.6,1.6722,0.04631308
59,OK,,140,217.9617484,12.6568231,140.5,123.6,140.5,54.953539,0.417400642,1.8889435,0.011318525,0.005206412,83.6,1.6722,0.016524937
60,OK,,140,217.9617484,12.6568231,160,123.6,160,62.5805426,0.000173686,8.8163835,0.049568465,1.99E-06,83.6,1.6722,0.049570459
61,OK,,140,222.0663848,12.8950769,121,123.6,121,47.3265353,3.48608364,0.324021347,0.002019412,0.044836037,83.6,1.6722,0.046855449
62,OK,,140,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.447161141,1.84775276,0.011058058,0.005571215,83.6,1.6722,0.016629273
63,OK,,140,222.0663848,12.8950769,160,123.6,160,62.5805426,0.000181415,8.7394876,0.049080943,2.08E-06,83.6,1.6722,0.049083023
64,OK,,140,226.171023,13.1333308,121,123.6,121,47.3265353,3.53693384,0.320238658,0.00199284,0.04541489,83.6,1.6722,0.04740773
65,OK,,140,226.171023,13.1333308,140.5,123.6,140.5,54.953539,0.46755422,1.82574487,0.010907595,0.0058132,83.6,1.6722,0.016720795
66,OK,,140,226.171023,13.1333308,160,123.6,160,62.5805426,0.000195655,8.61346256,0.048339004,2.24E-06,83.6,1.6722,0.048341248
67,OK,,140,230.2756595,13.3715846,121,123.6,121,47.3265353,3.58433378,0.316919561,0.001969244,0.045950199,83.6,1.6722,0.047919443
68,OK,,140,230.2756595,13.3715846,140.5,123.6,140.5,54.953539,0.510808984,1.76669371,0.010546689,0.00634897,83.6,1.6722,0.016895659
69,OK,,140,230.2756595,13.3715846,160,123.6,160,62.5805426,0.000208106,8.50521962,0.047689731,2.39E-06,83.6,1.6722,0.047692116
70,OK,,140,234.3802977,13.6098385,121,123.6,121,47.3265353,3.63182861,0.313677749,0.001946183,0.046484796,83.6,1.6722,0.048430979
71,OK,,140,234.3802977,13.6098385,140.5,123.6,140.5,54.953539,0.538903262,1.73457267,0.01034191,0.006690501,83.6,1.6722,0.017032411
72,OK,,140,234.3802977,13.6098385,160,123.6,160,62.5805426,0.000218539,8.41269897,0.047127009,2.50E-06,83.6,1.6722,0.047129512
73,OK,,140,238.4849341,13.8480923,121,123.6,121,47.3265353,3.67625028,0.310813239,0.001925565,0.046981305,83.6,1.6722,0.048906871
74,OK,,140,238.4849341,13.8480923,140.5,123.6,140.5,54.953539,0.574537597,1.69445223,0.010090071,0.007123908,83.6,1.6722,0.017213979
75,OK,,140,238.4849341,13.8480923,160,123.6,160,62.5805426,0.000235903,8.2862656,0.046379234,2.70E-06,83.6,1.6722,0.046381934
76,OK,,140,242.5895723,14.0863462,121,123.6,121,47.3265353,3.73304336,0.305593042,0.001890366,0.047623747,83.6,1.6722,0.049514113
77,OK,,140,242.5895723,14.0863462,140.5,123.6,140.5,54.953539,0.609084648,1.65791196,0.009860111,0.007542882,83.6,1.6722,0.017402993
78,OK,,140,242.5895723,14.0863462,160,123.6,160,62.5805426,0.000246688,8.19216159,0.045812089,2.82E-06,83.6,1.6722,0.045814912
79,OK,,140,246.6942088,14.3246,121,123.6,121,47.3265353,3.77967031,0.302700422,0.001869686,0.048142434,83.6,1.6722,0.05001212
80,OK,,140,246.6942088,14.3246,140.5,123.6,140.5,54.953539,0.639105865,1.6285599,0.009673247,0.007905278,83.6,1.6722,0.017578526
81,OK,,140,246.6942088,14.3246,160,123.6,160,62.5805426,0.000264749,8.08631195,0.045179949,3.03E-06,83.6,1.6722,0.045182978
82,OK,,140,250.7988453,14.5628538,121,123.6,121,47.3265353,3.82977332,0.29952362,0.001847306,0.048701492,83.6,1.6722,0.050548798
83,OK,,140,250.7988453,14.5628538,140.5,123.6,140.5,54.953539,0.677927582,1.5908196,0.009437212,0.008374508,83.6,1.6722,0.01781172
84,OK,,140,250.7988453,14.5628538,160,123.6,160,62.5805426,0.000280757,7.98768857,0.044588513,3.21E-06,83.6,1.6722,0.044591722
85,OK,,140,254.9034835,14.8011077,121,123.6,121,47.3265353,3.87908676,0.296501298,0.001825945,0.049249186,83.6,1.6722,0.05107513
86,OK,,140,254.9034835,14.8011077,140.5,123.6,140.5,54.953539,0.710889304,1.56127691,0.009250217,0.008770978,83.6,1.6722,0.018021195
87,OK,,140,254.9034835,14.8011077,160,123.6,160,62.5805426,0.000298184,7.88410537,0.04397096,3.41E-06,83.6,1.6722,0.043974367
88,OK,,140,259.0081199,15.0393615,121,123.6,121,47.3265353,3.930762,0.293332882,0.001803732,0.049822854,83.6,1.6722,0.051626586
89,OK,,140,259.0081199,15.0393615,140.5,123.6,140.5,54.953539,0.749889697,1.52989214,0.0090507,0.009238698,83.6,1.6722,0.018289398
